,Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),Google,Catalyst,AWS,Azure
0,n1-standard-1,1.0,3.75,0.0,0.0,0.09227,0.10599999999999994,0.11785640624999986,0.13293750000000001
1,n1-standard-2,2.0,7.5,0.0,0.0,0.18453,0.20404687499999993,0.18285947209821424,0.24617187500000004
2,n1-standard-4,4.0,15.0,0.0,0.0,0.36921,0.41182812499999977,0.36165010677083337,0.43662500000000026
3,n1-standard-8,8.0,30.0,0.0,0.0,0.73827,0.7999062500000002,0.7547848697916667,0.81825
4,n1-standard-16,16.0,60.0,0.0,0.0,1.47669,1.2786718749999995,1.5086264062499994,1.5854531249999997
5,n1-standard-32,32.0,120.0,0.0,0.0,2.95337,2.0170937500000012,3.1755165625000012,1.9528281249999997
6,n1-standard-64,64.0,240.0,0.0,0.0,5.90661,2.0170937500000012,5.958441249999998,1.999390625
7,f1-micro,1.0,0.6,0.0,0.0,0.014509999999999999,0.05109374999999999,0.025045937500000007,0.061343750000000016
8,g1-small,1.0,1.7,0.0,0.0,0.04887,0.06468749999999997,0.04113359375000001,0.07143750000000001
9,n1-highmem-2,2.0,13.0,0.0,0.0,0.22985,0.37604687499999984,0.21308056250000001,0.30320312499999996
10,n1-highmem-4,4.0,26.0,0.0,0.0,0.45969,0.6973124999999997,0.4953575885416661,0.5619531249999998
11,n1-highmem-8,8.0,52.0,0.0,0.0,0.9193899999999999,1.0775937500000008,1.069149765625,1.1204062500000003
12,n1-highmem-16,16.0,104.0,0.0,0.0,1.83864,1.6507187500000005,2.083178281249999,1.8420937499999996
13,n1-highmem-32,32.0,208.0,0.0,0.0,3.6772699999999996,2.0170937500000012,3.990469531249997,1.999390625
14,n1-highmem-64,64.0,416.0,0.0,0.0,7.35468,2.0170937500000012,6.917734218749995,1.999390625
15,n1-highcpu-2,2.0,1.8,0.0,0.0,0.13772,0.08725000000000004,0.0678696875,0.101125
16,n1-highcpu-4,4.0,3.6,0.0,0.0,0.27543,0.1770000000000001,0.33728746093749995,0.26945312500000007
17,n1-highcpu-8,8.0,7.2,0.0,0.0,0.55073,0.3371875000000002,0.6763712812500006,0.6465937500000004
18,n1-highcpu-16,16.0,14.4,0.0,0.0,1.10146,0.7259843749999996,1.234687812500001,1.2196249999999993
19,n1-highcpu-32,32.0,28.8,0.0,0.0,2.2029099999999997,1.2027968750000004,2.6113800520833332,1.4068281249999985
20,n1-highcpu-64,64.0,57.6,0.0,0.0,4.40597,1.5105624999999994,3.477497343750002,1.6950312499999995
